Rk,School,Overall G,Overall W,Overall L,Overall W-L%,Overall SRS,Overall SOS,Conf. W,Conf. L,Home W,Home L,Home W-L%,Away W,Away L,Away W-L%,Points Tm.,Points Opp.,Column1,School Totals MP,School Totals FG,School Totals FGA,School Totals FG%,School Totals 3P,School Totals 3PA,School Totals 3P%,School Totals FT,School Totals FTA,School Totals FT%,School Totals ORB,School Totals TRB,School Totals AST,School Totals STL,School Totals BLK,School Totals TOV,School Totals PF
120,Houston Baptist,31,6,25,0.194,-15.85,-3.67,2,16,5,8,0.384615385,1,16,0.058823529,2382,2617,,1250,860,2058,0.418,219,677,0.323,443,710,0.624,471,1219,426,206,89,438,605
121,Houston,33,26,7,0.788,16.38,3.87,14,4,15,0,1,6,5,0.545454545,2555,2142,,1320,910,1953,0.466,285,737,0.387,450,628,0.717,391,1271,492,212,103,401,693
122,Howard,33,10,23,0.303,-17.02,-9.5,7,9,7,4,0.636363636,2,18,0.1,2449,2654,,1345,847,1997,0.424,268,772,0.347,487,688,0.708,369,1154,406,178,93,442,676
123,Idaho State,30,14,16,0.467,-5.5,-3.42,9,9,9,5,0.642857143,5,10,0.333333333,2211,2232,,1200,778,1639,0.475,252,637,0.396,403,594,0.678,202,962,354,169,72,408,525
124,Idaho,31,22,9,0.71,1.09,-3.67,14,4,11,2,0.846153846,9,4,0.692307692,2330,2134,,1245,819,1748,0.469,277,678,0.409,415,565,0.735,307,1138,459,134,80,411,553
125,Illinois-Chicago,32,17,15,0.531,-4.19,-4.45,12,6,10,7,0.588235294,7,7,0.5,2403,2328,,1285,843,1874,0.45,211,613,0.344,506,695,0.728,335,1230,407,218,224,484,609
126,Illinois State,33,18,15,0.545,1.06,3.65,10,8,11,3,0.785714286,3,10,0.230769231,2364,2418,,1350,813,1917,0.424,301,884,0.34,437,640,0.683,315,1171,468,216,131,438,677
127,Illinois,32,14,18,0.438,8.78,7.82,4,14,12,6,0.666666667,1,10,0.090909091,2426,2362,,1295,856,1949,0.439,236,705,0.335,478,653,0.732,398,1053,442,240,69,425,720
128,Incarnate Word,28,7,21,0.25,-17.42,-4.75,2,16,6,9,0.4,1,12,0.076923077,1978,2163,,1120,671,1566,0.428,166,493,0.337,470,631,0.745,279,976,311,170,143,442,521
129,Indiana State,31,13,18,0.419,1.44,2.34,8,10,8,7,0.533333333,5,7,0.416666667,2248,2253,,1275,762,1803,0.423,270,748,0.361,454,644,0.705,321,1124,360,233,105,445,614
130,Indiana,31,16,15,0.516,10.2,8.56,9,9,12,6,0.666666667,3,8,0.272727273,2229,2178,,1255,806,1767,0.456,194,602,0.322,423,644,0.657,345,1099,435,198,134,386,561
131,Iona,33,20,13,0.606,0.96,-2.74,11,7,8,3,0.727272727,7,8,0.466666667,2635,2513,,1345,931,2016,0.462,319,822,0.388,452,612,0.739,282,1117,526,224,101,385,571
132,Iowa State,31,13,18,0.419,7.28,9.89,4,14,9,7,0.5625,0,10,0,2258,2339,,1250,817,1870,0.437,234,653,0.358,390,557,0.7,338,1134,423,149,129,369,508
133,Iowa,33,14,19,0.424,8.35,7.35,4,14,9,6,0.6,1,10,0.090909091,2630,2597,,1330,946,1975,0.479,252,672,0.375,486,699,0.695,391,1258,602,172,133,441,548
134,IPFW,32,18,14,0.563,-1.06,-3.06,7,7,13,2,0.866666667,4,10,0.285714286,2627,2441,,1285,920,2014,0.457,328,894,0.367,459,638,0.719,311,1128,471,261,104,384,524
135,IUPUI,30,11,19,0.367,-9.8,-3.51,8,10,9,4,0.692307692,2,14,0.125,2047,2180,,1205,731,1723,0.424,213,600,0.355,372,559,0.665,347,1022,385,205,103,427,562
136,Jackson State,32,12,20,0.375,-17.52,-10.36,9,9,9,2,0.818181818,2,17,0.105263158,1991,2161,,1295,714,1922,0.371,238,724,0.329,325,497,0.654,401,1087,351,235,89,368,651
137,Jacksonville State,33,21,12,0.636,-0.06,-5.03,11,7,12,4,0.75,7,7,0.5,2359,2142,,1325,879,1910,0.46,191,584,0.327,410,591,0.694,374,1257,510,198,167,424,575
138,Jacksonville,33,15,18,0.455,-13.25,-5.98,8,6,10,6,0.625,3,12,0.2,2405,2482,,1345,897,1993,0.45,202,601,0.336,409,621,0.659,330,1180,415,226,112,472,536
139,James Madison,32,10,22,0.313,-5.45,-2.13,6,12,7,7,0.5,3,11,0.214285714,2341,2414,,1310,812,1932,0.42,231,695,0.332,486,667,0.729,361,1147,388,228,104,383,670
