Rk,School,Overall G,Overall W,Overall L,Overall W-L%,Overall SRS,Overall SOS,Conf. W,Conf. L,Home W,Home L,Home W-L%,Away W,Away L,Away W-L%,Points Tm.,Points Opp.,Column1,School Totals MP,School Totals FG,School Totals FGA,School Totals FG%,School Totals 3P,School Totals 3PA,School Totals 3P%,School Totals FT,School Totals FTA,School Totals FT%,School Totals ORB,School Totals TRB,School Totals AST,School Totals STL,School Totals BLK,School Totals TOV,School Totals PF
193,Mount St. Mary's,32,18,14,0.563,-7.74,-7.64,12,6,12,3,0.8,6,11,0.352941176,2331,2301,,1295,809,1778,0.455,323,853,0.379,390,532,0.733,212,918,447,221,125,351,492
194,Murray State,31,26,5,0.839,7.19,-4.16,16,2,14,2,0.875,10,3,0.769230769,2447,2032,,1240,849,1752,0.485,264,696,0.379,485,664,0.73,327,1150,459,211,98,368,537
195,Navy,32,20,12,0.625,-6.79,-7.08,11,7,9,6,0.6,9,6,0.6,2199,2125,,1285,771,1736,0.444,206,621,0.332,451,627,0.719,342,1113,450,206,41,453,553
196,Nebraska-Omaha,31,9,22,0.29,-9.46,0.75,4,10,8,4,0.666666667,1,15,0.0625,2373,2588,,1260,877,1912,0.459,254,694,0.366,365,517,0.706,281,1044,405,177,83,409,498
197,Nebraska,32,22,10,0.688,11.34,7.34,13,5,16,1,0.941176471,4,7,0.363636364,2327,2199,,1285,797,1841,0.433,226,648,0.349,507,707,0.717,345,1161,436,194,179,357,547
198,Nevada-Las Vegas,33,20,13,0.606,7.45,2.12,8,10,13,6,0.684210526,5,6,0.454545455,2753,2577,,1345,978,2000,0.489,185,554,0.334,612,868,0.705,393,1333,535,184,146,473,580
199,Nevada,34,27,7,0.794,14.55,4.34,15,3,14,1,0.933333333,11,3,0.785714286,2825,2478,,1375,963,2056,0.468,330,830,0.398,569,762,0.747,320,1225,559,213,139,338,586
200,New Hampshire,31,10,21,0.323,-8.25,-4.18,6,10,8,7,0.533333333,2,12,0.142857143,2103,2085,,1240,725,1803,0.402,252,776,0.325,401,544,0.737,352,1189,369,111,56,362,555
201,New Mexico State,33,28,5,0.848,9.48,-1.39,12,2,14,1,0.933333333,8,3,0.727272727,2504,2104,,1325,939,2042,0.46,249,748,0.333,377,586,0.643,419,1368,467,186,101,418,591
202,New Mexico,34,19,15,0.559,6.1,3.59,12,6,13,4,0.764705882,4,8,0.333333333,2795,2641,,1365,939,2065,0.455,367,979,0.375,550,708,0.777,315,1073,539,251,96,422,696
203,New Orleans,31,15,16,0.484,-8.92,-5.42,11,7,9,3,0.75,5,12,0.294117647,2151,2177,,1245,758,1678,0.452,147,415,0.354,488,719,0.679,351,1063,450,226,109,477,586
204,Niagara,32,19,13,0.594,-4.16,-4.07,12,6,9,5,0.642857143,10,6,0.625,2683,2686,,1290,918,2050,0.448,269,737,0.365,578,793,0.729,378,1245,386,161,139,360,570
205,Nicholls State,32,21,11,0.656,-3.36,-5.69,15,3,12,3,0.8,9,7,0.5625,2641,2411,,1280,941,1994,0.472,260,729,0.357,499,696,0.717,353,1189,474,307,126,490,712
206,NJIT,30,14,16,0.467,-7.09,-5.37,7,7,10,7,0.588235294,4,9,0.307692308,2248,2197,,1210,808,1803,0.448,236,653,0.361,396,579,0.684,331,1063,417,246,97,399,556
207,Norfolk State,33,14,19,0.424,-12.7,-9.9,11,5,8,6,0.571428571,5,11,0.3125,2399,2417,,1325,858,1992,0.431,254,707,0.359,429,639,0.671,411,1270,450,206,114,507,693
208,North Carolina-Asheville,33,21,12,0.636,-4.31,-4.12,13,5,14,2,0.875,7,9,0.4375,2459,2396,,1335,877,1865,0.47,263,672,0.391,442,597,0.74,270,1112,503,241,109,451,610
209,North Carolina A&T,34,20,14,0.588,-12.26,-11.26,11,5,12,0,1,5,12,0.294117647,2571,2540,,1375,909,1959,0.464,207,690,0.3,546,766,0.713,338,1218,524,207,79,471,614
210,North Carolina Central,34,19,15,0.559,-12.62,-12.3,9,7,12,2,0.857142857,3,13,0.1875,2474,2361,,1365,928,1991,0.466,212,626,0.339,406,591,0.687,393,1293,535,174,115,480,632
211,North Carolina-Greensboro,34,27,7,0.794,4.48,-4.32,15,3,16,1,0.941176471,8,6,0.571428571,2498,2121,,1390,896,2006,0.447,328,914,0.359,378,539,0.701,404,1262,480,263,131,468,628
212,North Carolina State,32,21,11,0.656,13.49,6.74,11,7,16,3,0.842105263,4,5,0.444444444,2599,2383,,1285,937,1993,0.47,252,677,0.372,473,675,0.701,390,1142,517,240,122,390,579
213,North Carolina-Wilmington,32,11,21,0.344,-7.47,-1.11,7,11,8,5,0.615384615,2,11,0.153846154,2542,2668,,1305,920,2109,0.436,244,705,0.346,458,664,0.69,441,1310,487,164,67,414,586
214,North Carolina,35,25,10,0.714,21.29,12.44,11,7,12,3,0.8,6,5,0.545454545,2869,2559,,1405,1048,2279,0.46,290,796,0.364,483,652,0.741,492,1487,637,197,147,422,550
215,North Dakota State,32,15,17,0.469,-1.51,-1.23,5,9,8,6,0.571428571,5,10,0.333333333,2382,2264,,1285,837,1783,0.469,294,778,0.378,414,544,0.761,231,1102,422,145,76,402,556
216,North Dakota,32,12,20,0.375,-7.34,0.09,6,12,7,6,0.538461538,2,13,0.133333333,2427,2612,,1305,863,1879,0.459,233,685,0.34,468,663,0.706,225,983,409,253,58,417,605
217,North Florida,33,14,19,0.424,-11.19,-1.52,7,7,10,2,0.833333333,4,17,0.19047619,2668,2873,,1325,939,2058,0.456,357,945,0.378,433,570,0.76,313,1161,490,173,126,478,505
218,North Texas,32,15,17,0.469,-1.67,-0.9,8,10,10,6,0.625,5,10,0.333333333,2333,2287,,1300,840,1881,0.447,250,712,0.351,403,623,0.647,359,1198,394,156,87,433,619
219,Northeastern,33,23,10,0.697,3.73,-1.52,14,4,12,2,0.857142857,9,5,0.642857143,2472,2270,,1335,859,1776,0.484,302,804,0.376,452,617,0.733,258,1084,523,220,82,450,575
220,Northern Arizona,32,5,27,0.156,-14.31,-0.68,2,16,2,10,0.166666667,3,14,0.176470588,2100,2512,,1290,698,1750,0.399,178,584,0.305,526,750,0.701,313,1074,314,180,100,497,632
221,Northern Colorado,34,22,12,0.647,3.16,-2.07,11,7,11,3,0.785714286,6,8,0.428571429,2738,2478,,1375,982,2104,0.467,294,825,0.356,480,691,0.695,336,1281,407,171,122,417,649
222,Northern Illinois,32,13,19,0.406,-6.65,-1.65,6,12,11,4,0.733333333,1,13,0.071428571,2319,2407,,1285,849,1860,0.456,169,512,0.33,452,622,0.727,314,1102,295,213,58,378,593
223,Northern Iowa,32,16,16,0.5,4.04,3.9,7,11,12,4,0.75,1,9,0.1,2056,1990,,1285,720,1714,0.42,229,684,0.335,387,537,0.721,263,1109,345,166,80,364,481
224,Northern Kentucky,31,22,9,0.71,4.73,-4.76,15,3,12,2,0.857142857,8,5,0.615384615,2428,2046,,1240,876,1825,0.48,253,728,0.348,423,577,0.733,297,1133,510,228,102,385,567
225,Northwestern State,29,4,25,0.138,-20.71,-3.87,1,17,1,11,0.083333333,3,13,0.1875,1868,2264,,1160,692,1678,0.412,125,448,0.279,359,588,0.611,359,1035,279,180,122,496,573
226,Northwestern,32,15,17,0.469,9.83,8.58,6,12,11,6,0.647058824,3,9,0.25,2203,2127,,1290,773,1813,0.426,255,720,0.354,402,538,0.747,320,1059,447,156,136,374,605
227,Notre Dame,34,20,14,0.588,14.4,8.67,8,10,10,5,0.666666667,5,7,0.416666667,2551,2335,,1375,889,1992,0.446,289,789,0.366,484,640,0.756,354,1229,489,196,121,336,439
228,Oakland,33,19,14,0.576,-1.84,-3.78,10,8,11,4,0.733333333,7,8,0.466666667,2580,2516,,1330,884,1966,0.45,275,782,0.352,537,697,0.77,326,1202,553,200,165,434,540
229,Ohio State,32,24,8,0.75,18.1,8.97,15,3,16,2,0.888888889,6,2,0.75,2426,2134,,1295,894,1842,0.485,216,612,0.353,422,581,0.726,309,1174,472,193,127,378,556
230,Ohio,31,14,17,0.452,-2.46,-1.59,7,11,11,5,0.6875,2,10,0.166666667,2334,2353,,1280,839,1893,0.443,244,661,0.369,412,578,0.713,257,1126,443,207,102,412,500
231,Oklahoma State,33,19,14,0.576,13.03,9.7,8,10,13,5,0.722222222,3,7,0.3,2522,2412,,1330,885,2023,0.437,271,783,0.346,481,631,0.762,415,1221,466,218,133,440,635
232,Oklahoma,31,18,13,0.581,14.41,10.89,8,10,13,2,0.866666667,2,9,0.181818182,2640,2531,,1250,925,1993,0.464,296,815,0.363,494,660,0.748,321,1175,467,204,146,414,533
233,Old Dominion,32,25,7,0.781,8.96,-1.57,15,3,12,2,0.857142857,10,3,0.769230769,2347,2010,,1290,844,1888,0.447,228,639,0.357,431,623,0.692,373,1207,483,239,139,332,509
234,Oral Roberts,32,11,21,0.344,-6.3,1.41,5,9,8,5,0.615384615,3,14,0.176470588,2332,2484,,1310,879,2010,0.437,220,641,0.343,354,517,0.685,440,1226,453,174,112,411,565
235,Oregon State,32,16,16,0.5,7.78,5.03,7,11,12,4,0.75,1,9,0.1,2339,2251,,1300,830,1779,0.467,192,583,0.329,487,688,0.708,332,1119,475,212,116,424,642
236,Oregon,34,22,12,0.647,11.24,5.15,10,8,15,3,0.833333333,4,6,0.4,2626,2419,,1380,924,2045,0.452,306,869,0.352,472,618,0.764,355,1198,517,232,147,404,674
237,Pacific,32,14,18,0.438,-0.11,2.25,9,9,8,8,0.5,6,9,0.4,2280,2316,,1290,804,1782,0.451,151,459,0.329,521,715,0.729,332,1086,395,197,129,368,581
238,Penn State,34,21,13,0.618,15.28,7.58,9,9,14,4,0.777777778,4,7,0.363636364,2537,2275,,1370,925,2009,0.46,252,657,0.384,435,625,0.696,368,1212,464,253,176,413,599
239,Pennsylvania,32,24,8,0.75,2.25,-3.84,12,2,11,3,0.785714286,9,4,0.692307692,2446,2198,,1315,871,1893,0.46,280,802,0.349,424,637,0.666,278,1207,492,190,89,379,553
240,Pepperdine,32,6,26,0.188,-6.09,2.23,2,16,5,11,0.3125,0,14,0,2283,2516,,1290,822,1829,0.449,186,542,0.343,453,646,0.701,324,1077,449,155,69,376,575
241,Pittsburgh,32,8,24,0.25,-1.56,8.78,0,18,7,11,0.388888889,0,10,0,1985,2316,,1290,678,1673,0.405,258,795,0.325,371,534,0.695,247,1007,398,138,112,443,553
242,Portland State,33,20,13,0.606,0.19,-0.84,9,9,8,5,0.615384615,10,5,0.666666667,2833,2631,,1335,1011,2273,0.445,295,864,0.341,516,735,0.702,478,1270,538,327,115,418,729
243,Portland,32,10,22,0.313,-6.12,2.92,4,14,7,9,0.4375,3,9,0.25,2221,2372,,1290,781,1745,0.448,255,665,0.383,404,596,0.678,205,1014,387,165,127,383,576
244,Prairie View,34,16,18,0.471,-10,-7.57,12,6,10,2,0.833333333,5,15,0.25,2559,2609,,1370,890,2043,0.436,247,752,0.328,532,793,0.671,400,1182,439,257,103,460,748
245,Presbyterian,32,11,21,0.344,-14.33,-5.53,4,14,8,8,0.5,2,13,0.133333333,2124,2273,,1285,749,1760,0.426,276,772,0.358,350,510,0.686,290,1003,368,175,62,368,460
246,Princeton,29,13,16,0.448,-2.28,-1.81,5,9,7,5,0.583333333,5,9,0.357142857,2106,2083,,1200,753,1660,0.454,287,767,0.374,313,443,0.707,220,949,367,137,90,334,504
247,Providence,34,21,13,0.618,11.22,10.19,10,8,13,4,0.764705882,4,7,0.363636364,2506,2471,,1385,872,1975,0.442,217,651,0.333,545,775,0.703,359,1221,468,233,128,424,601
248,Purdue,34,28,6,0.824,24.14,8.64,15,3,16,1,0.941176471,8,2,0.8,2759,2232,,1365,958,1928,0.497,326,776,0.42,517,696,0.743,287,1191,568,198,171,363,528
249,Quinnipiac,33,12,21,0.364,-9.2,-4.14,7,11,6,6,0.5,3,12,0.2,2364,2531,,1355,787,1864,0.422,303,893,0.339,487,690,0.706,330,1142,404,182,86,446,566
250,Radford,34,22,12,0.647,-2.8,-4.86,12,6,12,2,0.857142857,7,10,0.411764706,2290,2188,,1385,802,1882,0.426,263,752,0.35,423,585,0.723,392,1175,415,214,100,413,556
251,Rhode Island,32,25,7,0.781,12.18,3.9,15,3,15,1,0.9375,7,4,0.636363636,2438,2173,,1285,899,1957,0.459,218,623,0.35,422,597,0.707,361,1100,489,240,111,343,609
252,Rice,31,7,24,0.226,-8.93,-0.35,4,14,5,10,0.333333333,2,13,0.133333333,2114,2347,,1250,711,1751,0.406,260,818,0.318,432,646,0.669,326,1140,378,166,66,460,509
253,Richmond,32,12,20,0.375,0.02,3.8,9,9,6,9,0.4,4,8,0.333333333,2297,2418,,1295,843,1831,0.46,222,664,0.334,389,544,0.715,248,973,486,244,77,373,518
254,Rider,31,22,9,0.71,1.36,-2.77,15,3,12,1,0.923076923,8,6,0.571428571,2534,2406,,1245,897,1928,0.465,237,656,0.361,503,828,0.607,406,1222,442,235,105,412,612
255,Robert Morris,33,16,17,0.485,-7.57,-5.69,9,9,4,6,0.4,9,11,0.45,2272,2334,,1325,794,1932,0.411,242,729,0.332,442,663,0.667,392,1176,382,256,90,489,662
256,Rutgers,34,15,19,0.441,5.79,7.12,3,15,13,9,0.590909091,0,9,0,2216,2204,,1375,830,2043,0.406,145,501,0.289,409,635,0.644,447,1317,333,240,136,397,583
257,Sacramento State,32,7,25,0.219,-8.59,-0.42,4,14,6,9,0.4,1,12,0.076923077,2157,2358,,1285,800,1802,0.444,202,570,0.354,355,519,0.684,266,1024,420,172,110,385,586
258,Sacred Heart,31,10,21,0.323,-10.99,-6.59,5,13,5,9,0.357142857,4,11,0.266666667,2129,2237,,1245,796,1823,0.437,179,599,0.299,358,540,0.663,373,1238,400,149,72,460,571
259,Saint Francis (PA),30,18,12,0.6,-4.99,-6.42,12,6,11,3,0.785714286,7,9,0.4375,2389,2271,,1220,840,1784,0.471,243,655,0.371,466,612,0.761,267,1016,404,203,69,347,483
260,Saint Joseph's,32,16,16,0.5,3.88,2,10,8,10,3,0.769230769,4,9,0.307692308,2371,2311,,1290,826,1952,0.423,255,756,0.337,464,675,0.687,289,1201,447,203,92,320,497
261,Saint Louis,33,17,16,0.515,2.75,3.1,9,9,12,6,0.666666667,3,7,0.3,2170,2157,,1325,731,1734,0.422,185,573,0.323,523,802,0.652,387,1188,393,198,146,420,596
262,Saint Mary's (CA),33,28,5,0.848,12.92,0.44,16,2,16,1,0.941176471,11,1,0.916666667,2540,2128,,1330,925,1799,0.514,255,631,0.404,435,561,0.775,261,1103,515,143,90,321,514
263,Saint Peter's,32,14,18,0.438,-4.94,-4.06,6,12,8,5,0.615384615,3,12,0.2,2085,2113,,1310,740,1762,0.42,253,750,0.337,352,488,0.721,292,1050,378,211,101,416,601
264,Sam Houston State,33,19,14,0.576,-5.23,-5.03,12,6,13,2,0.866666667,4,9,0.307692308,2346,2247,,1325,824,1930,0.427,236,703,0.336,462,648,0.713,400,1229,479,202,57,435,653
265,Samford,32,10,22,0.313,-10.86,-3.13,6,12,8,6,0.571428571,2,14,0.125,2483,2639,,1280,870,1845,0.472,289,773,0.374,454,594,0.764,263,974,530,230,76,435,527
266,San Diego State,32,22,10,0.688,12.49,3.84,11,7,13,2,0.866666667,5,7,0.416666667,2480,2173,,1280,882,1913,0.461,235,693,0.339,481,667,0.721,355,1206,477,202,102,382,545
267,San Diego,31,18,13,0.581,3.3,0.97,9,9,10,6,0.625,8,6,0.571428571,2155,2042,,1250,718,1613,0.445,259,726,0.357,460,646,0.712,232,1019,426,165,125,396,648
268,San Francisco,33,18,15,0.545,1.96,2.46,9,9,12,6,0.666666667,4,7,0.363636364,2266,2259,,1330,807,1901,0.425,272,810,0.336,380,555,0.685,335,1153,435,187,108,397,643
269,San Jose State,30,4,26,0.133,-8.45,3.21,1,17,3,11,0.214285714,1,14,0.066666667,1974,2260,,1210,705,1618,0.436,178,485,0.367,386,558,0.692,277,1073,385,135,69,488,569
270,Santa Clara,31,11,20,0.355,-6.58,1.04,8,10,6,11,0.352941176,5,5,0.5,2048,2224,,1245,718,1674,0.429,232,682,0.34,380,524,0.725,243,887,404,168,73,350,537
271,Savannah State,32,15,17,0.469,-14.98,-4.68,12,4,10,2,0.833333333,4,13,0.235294118,2754,2991,,1295,940,2350,0.4,391,1304,0.3,483,694,0.696,423,1222,504,301,89,448,608
272,Seattle,33,20,13,0.606,-1.82,-2.68,8,6,16,2,0.888888889,3,10,0.230769231,2499,2376,,1330,848,1903,0.446,300,813,0.369,503,677,0.743,353,1252,447,161,119,469,673
273,Seton Hall,32,21,11,0.656,15.49,9.81,10,8,14,3,0.823529412,5,6,0.454545455,2528,2346,,1290,914,1950,0.469,233,640,0.364,467,674,0.693,385,1223,506,201,112,410,567
274,Siena,32,8,24,0.25,-10.18,-2.71,4,14,7,8,0.466666667,1,15,0.0625,2166,2405,,1325,752,1790,0.42,220,600,0.367,442,652,0.678,352,1146,355,153,104,483,641
275,South Alabama,32,14,18,0.438,-5.2,-2.63,7,11,11,4,0.733333333,2,13,0.133333333,2228,2218,,1285,752,1783,0.422,252,779,0.323,472,674,0.7,300,1163,396,171,125,479,612
276,South Carolina State,32,10,22,0.313,-19.9,-8.5,6,10,8,5,0.615384615,2,16,0.111111111,2355,2660,,1290,828,1946,0.425,206,615,0.335,493,706,0.698,363,1105,353,170,77,446,612
277,South Carolina Upstate,32,7,25,0.219,-17.3,-4.19,2,12,6,7,0.461538462,0,17,0,2424,2723,,1290,881,2045,0.431,328,952,0.345,334,460,0.726,335,1062,449,195,86,370,566
278,South Carolina,33,17,16,0.515,9.8,9.58,7,11,10,5,0.666666667,4,8,0.333333333,2313,2277,,1330,756,1899,0.398,240,709,0.339,561,801,0.7,415,1228,423,180,105,455,661
279,South Dakota State,34,28,6,0.824,7.14,-0.59,13,1,15,0,1,8,5,0.615384615,2885,2518,,1375,979,2084,0.47,361,896,0.403,566,745,0.76,302,1321,459,169,78,340,547
280,South Dakota,34,26,8,0.765,7.1,-2.41,11,3,13,1,0.928571429,9,5,0.642857143,2755,2314,,1360,991,2066,0.48,237,651,0.364,536,711,0.754,343,1276,453,234,65,378,571
281,South Florida,32,10,22,0.313,-6.99,0.32,3,15,7,11,0.388888889,3,10,0.230769231,2026,2260,,1285,707,1691,0.418,207,574,0.361,405,560,0.723,309,1066,379,163,76,449,546
282,Southeast Missouri State,31,14,17,0.452,-7.94,-4.7,8,10,7,7,0.5,6,9,0.4,2355,2413,,1250,796,1729,0.46,289,738,0.392,474,650,0.729,273,1005,423,178,54,388,553
283,Southeastern Louisiana,33,22,11,0.667,-5.31,-6.58,15,3,10,3,0.769230769,10,6,0.625,2394,2268,,1320,848,1857,0.457,249,692,0.36,449,684,0.656,351,1136,490,222,96,458,559
284,Southern California,34,23,11,0.676,13.75,6.87,12,6,12,4,0.75,6,5,0.545454545,2620,2386,,1370,953,2034,0.469,276,736,0.375,438,607,0.722,344,1178,533,217,142,359,541
285,SIU Edwardsville,30,9,21,0.3,-12.23,-3.16,5,13,4,9,0.307692308,5,11,0.3125,2090,2362,,1200,734,1759,0.417,212,654,0.324,410,580,0.707,324,1024,373,144,82,409,645
286,Southern Illinois,33,20,13,0.606,1.43,0.71,11,7,13,3,0.8125,5,8,0.384615385,2308,2280,,1340,839,1817,0.462,215,604,0.356,415,596,0.696,281,1079,464,247,118,420,588
287,Southern Methodist,33,17,16,0.515,9.44,4.01,6,12,13,5,0.722222222,2,8,0.2,2293,2114,,1320,814,1835,0.444,281,741,0.379,384,560,0.686,365,1109,474,244,99,383,535
288,Southern Mississippi,34,16,18,0.471,-4.62,0.95,7,11,11,3,0.785714286,2,11,0.153846154,2401,2449,,1365,872,1958,0.445,254,749,0.339,403,573,0.703,254,1035,500,237,59,333,528
289,Southern Utah,32,13,19,0.406,-7.29,-0.52,5,13,9,5,0.642857143,2,13,0.133333333,2416,2583,,1290,824,1887,0.437,253,706,0.358,515,698,0.738,268,1084,374,166,98,408,699
290,Southern,33,15,18,0.455,-14.4,-9.43,10,8,11,3,0.785714286,4,14,0.222222222,2279,2369,,1330,781,1936,0.403,177,524,0.338,540,793,0.681,429,1285,370,187,121,435,629
291,St. Bonaventure,32,25,7,0.781,8.99,2.08,14,4,13,1,0.928571429,9,4,0.692307692,2493,2272,,1300,844,1850,0.456,248,623,0.398,557,739,0.754,331,1138,455,221,115,367,641
292,St. Francis (NY),31,13,18,0.419,-11.81,-6.88,10,8,10,3,0.769230769,3,13,0.1875,2260,2357,,1260,784,1889,0.415,271,783,0.346,421,591,0.712,322,1046,357,225,82,390,668
293,St. John's (NY),33,16,17,0.485,10.44,10.85,4,14,9,7,0.5625,2,7,0.222222222,2412,2397,,1345,867,1999,0.434,232,706,0.329,446,602,0.741,288,1109,422,282,171,393,614
294,Stanford,33,18,15,0.545,8.59,7.5,11,7,13,5,0.722222222,4,6,0.4,2504,2468,,1330,871,1877,0.464,223,595,0.375,539,784,0.688,362,1266,445,173,116,490,598
295,Stephen F. Austin,34,28,6,0.824,2.76,-7.01,14,4,16,1,0.941176471,9,5,0.642857143,2759,2316,,1360,982,2012,0.488,237,637,0.372,558,791,0.705,395,1217,490,347,103,527,740
296,Stetson,32,12,20,0.375,-12.24,-6.31,4,10,7,9,0.4375,5,11,0.3125,2412,2496,,1290,907,2053,0.442,250,726,0.344,348,518,0.672,292,1099,471,228,87,350,586
297,Stony Brook,32,13,19,0.406,-4.91,-2.11,7,9,7,7,0.5,6,11,0.352941176,2205,2249,,1290,779,1866,0.417,249,757,0.329,398,606,0.657,364,1152,427,261,94,448,647
298,Syracuse,33,20,13,0.606,12.25,9.25,8,10,14,5,0.736842105,4,6,0.4,2229,2130,,1340,751,1796,0.418,193,601,0.321,534,722,0.74,399,1233,362,239,183,414,538
299,Temple,32,17,15,0.531,7.51,7.88,8,10,8,5,0.615384615,4,9,0.307692308,2251,2263,,1290,821,1931,0.425,267,755,0.354,342,495,0.691,328,1086,408,214,103,346,556
300,Tennessee-Martin,31,10,21,0.323,-10.34,-4.79,5,13,5,9,0.357142857,5,12,0.294117647,2135,2253,,1255,808,1805,0.448,210,650,0.323,309,426,0.725,306,1086,390,214,105,449,568
301,Tennessee State,30,15,15,0.5,-5.14,-2.79,10,8,9,5,0.642857143,6,9,0.4,1997,2010,,1220,669,1574,0.425,223,664,0.336,436,590,0.739,261,989,326,213,86,442,563
302,Tennessee Tech,33,19,14,0.576,-5.63,-3.34,10,8,11,3,0.785714286,5,10,0.333333333,2413,2388,,1325,844,1924,0.439,242,697,0.347,483,710,0.68,334,1174,471,252,107,471,649
303,Tennessee,33,25,8,0.758,18.62,10.8,13,5,13,2,0.866666667,8,4,0.666666667,2449,2191,,1330,833,1897,0.439,259,675,0.384,524,693,0.756,385,1194,522,208,148,403,646
304,Texas A&M-Corpus Christi,29,11,18,0.379,-12.02,-6.29,8,10,7,6,0.538461538,4,11,0.266666667,1963,2057,,1170,691,1589,0.435,149,437,0.341,432,603,0.716,292,1005,323,197,84,461,606
305,Texas A&M,32,20,12,0.625,15.71,10.52,9,9,13,3,0.8125,4,7,0.363636364,2400,2234,,1280,887,1942,0.457,211,645,0.327,415,622,0.667,402,1323,495,180,188,434,536
306,Texas-Arlington,34,21,13,0.618,2.43,-1.21,10,8,13,2,0.866666667,4,10,0.285714286,2640,2500,,1365,927,2054,0.451,294,818,0.359,492,713,0.69,375,1333,545,229,143,507,617
307,Texas Christian,32,21,11,0.656,17.03,9.97,9,9,15,3,0.833333333,3,7,0.3,2656,2430,,1305,960,1925,0.499,271,677,0.4,465,657,0.708,357,1166,601,211,115,406,537
308,Texas-El Paso,31,11,20,0.355,-5.57,-0.47,6,12,9,8,0.529411765,2,8,0.2,2094,2197,,1240,754,1736,0.434,224,667,0.336,362,541,0.669,216,1035,328,129,89,381,576
309,Texas-Rio Grande Valley,32,15,17,0.469,-7.36,-2.43,6,8,9,7,0.5625,6,9,0.4,2416,2507,,1290,807,2004,0.403,198,645,0.307,604,818,0.738,370,1200,482,245,107,431,702
310,Texas-San Antonio,33,19,14,0.576,-1.32,-0.98,11,7,11,3,0.785714286,6,8,0.428571429,2595,2483,,1325,920,2110,0.436,335,926,0.362,420,613,0.685,364,1326,463,208,89,417,666
311,Texas Southern,34,15,19,0.441,-7.93,-5.84,12,6,8,2,0.8,5,17,0.227272727,2640,2711,,1370,878,1989,0.441,266,732,0.363,618,860,0.719,350,1229,417,190,133,428,599
312,Texas State,33,15,18,0.455,-5.55,-3.16,7,11,7,7,0.5,6,9,0.4,2190,2172,,1330,773,1782,0.434,214,648,0.33,430,651,0.661,363,1144,448,179,92,442,543
313,Texas Tech,33,24,9,0.727,19.57,9.02,11,7,17,1,0.944444444,4,6,0.4,2483,2135,,1330,863,1859,0.464,232,634,0.366,525,749,0.701,361,1182,447,245,134,412,599
314,Texas,33,19,14,0.576,14.44,10.92,8,10,13,4,0.764705882,3,7,0.3,2367,2251,,1365,851,1943,0.438,234,742,0.315,431,645,0.668,349,1175,381,205,163,390,531
315,Toledo,34,23,11,0.676,2.71,-1.68,13,5,12,4,0.75,9,6,0.6,2687,2532,,1360,913,1953,0.467,327,815,0.401,534,725,0.737,319,1253,528,127,135,395,541
316,Towson,32,18,14,0.563,-0.14,-3.14,8,10,10,4,0.714285714,4,9,0.307692308,2446,2279,,1300,889,1905,0.467,210,582,0.361,458,667,0.687,398,1219,381,209,139,405,633
317,Troy,33,16,17,0.485,-1.29,-1.9,9,9,10,4,0.714285714,4,10,0.285714286,2475,2408,,1330,848,1930,0.439,292,866,0.337,487,662,0.736,319,1194,435,165,124,408,570
318,Tulane,31,14,17,0.452,1.57,2.44,5,13,9,7,0.5625,3,8,0.272727273,2269,2296,,1250,800,1779,0.45,232,663,0.35,437,613,0.713,294,1068,483,155,126,409,557
319,Tulsa,31,19,12,0.613,5.32,2.74,12,6,13,2,0.866666667,4,7,0.363636364,2277,2197,,1255,754,1731,0.436,247,711,0.347,522,720,0.725,346,1177,391,140,68,398,495
320,UCLA,32,21,11,0.656,12.85,7.26,11,7,14,2,0.875,3,7,0.3,2621,2442,,1310,906,1964,0.461,300,783,0.383,509,705,0.722,330,1242,482,183,125,379,574
321,Utah State,34,17,17,0.5,2.57,2.91,8,10,11,4,0.733333333,2,12,0.142857143,2489,2466,,1365,865,1904,0.454,317,870,0.364,442,627,0.705,290,1132,473,170,68,441,617
322,Utah Valley,32,22,10,0.688,5.17,-1.56,10,4,15,1,0.9375,6,8,0.428571429,2497,2167,,1285,869,1806,0.481,252,658,0.383,507,688,0.737,338,1216,517,192,131,446,530
323,Utah,30,19,11,0.633,11.01,6.24,11,7,13,3,0.8125,5,6,0.454545455,2205,2062,,1205,748,1639,0.456,274,748,0.366,435,572,0.76,234,1011,463,158,106,360,503
324,Valparaiso,32,15,17,0.469,0.71,1.01,6,12,8,4,0.666666667,3,12,0.2,2252,2182,,1280,781,1741,0.449,213,624,0.341,477,674,0.708,294,1115,399,235,105,469,678
325,Vanderbilt,32,12,20,0.375,8.91,10.54,6,12,11,7,0.611111111,1,10,0.090909091,2316,2368,,1290,775,1775,0.437,289,819,0.353,477,642,0.743,311,1080,392,154,108,379,632
326,Vermont,34,27,7,0.794,5.55,-3.57,15,1,12,2,0.857142857,12,4,0.75,2523,2186,,1360,852,1747,0.488,258,638,0.404,561,745,0.753,264,1138,452,130,89,378,514
327,Villanova,34,30,4,0.882,25.69,9.51,14,4,12,1,0.923076923,9,3,0.75,2960,2410,,1375,1055,2092,0.504,388,975,0.398,462,599,0.771,319,1208,567,227,135,352,539
328,Virginia Commonwealth,33,18,15,0.545,3.76,2.64,9,9,11,7,0.611111111,5,5,0.5,2507,2470,,1335,921,2013,0.458,274,778,0.352,391,566,0.691,342,1203,510,210,93,446,561
